pathway,pathwayTitle,total_inchikeys,matched,ratio
WP280,Carbon monoxide dehydrogenase pathway,8,1,0.125
WP361,Xylulose-monophosphate cycle,8,1,0.125
WP3828,rRNA modification in the nucleus and cytosol,8,1,0.125
WP4233,Acrylamide biotransformation and exposure biomarkers,8,1,0.125
WP4422,G alpha (z) signaling events,8,1,0.125
WP4437,Signaling by PTK6,8,1,0.125
WP4966,Fluoroacetic acid toxicity,8,1,0.125
WP5195,Disorders in ketolysis,8,1,0.125
WP5365,4p16.3 copy number variation,8,1,0.125
WP5407,15q11q13 copy number variation,8,1,0.125
WP5408,15q25 copy number variation,8,1,0.125
WP1075,Folate metabolism,49,6,0.12244897959183673
WP176,Folate metabolism,49,6,0.12244897959183673
WP4424,G alpha (q) signaling events,49,6,0.12244897959183673
WP4981,Phenylalanine and tyrosine metabolism,25,3,0.12
WP2670,Iron uptake and transport,17,2,0.11764705882352941
WP1273,Folic acid network,69,8,0.11594202898550725
WP1311,Folic acid network,69,8,0.11594202898550725
WP2712,Abacavir transport and metabolism,18,2,0.1111111111111111
WP1356,Glycolysis and gluconeogenesis,9,1,0.1111111111111111
WP1602,Nicotine effect on dopaminergic neurons,9,1,0.1111111111111111
WP1981,Thyroxine (thyroid hormone) production,9,1,0.1111111111111111
WP2719,Fcgamma receptor (FCGR) dependent phagocytosis,9,1,0.1111111111111111
WP3179,Nicotine activity on dopaminergic neurons,9,1,0.1111111111111111
WP3320,Miscellaneous transport and binding events,9,1,0.1111111111111111
WP3372,"TET1,2,3 and TDG demethylate DNA",9,1,0.1111111111111111
WP3395,Cellular response to heat stress,9,1,0.1111111111111111
WP3567,HDR through Homologous Recombination or Single Strand Annealing,9,1,0.1111111111111111
WP3992,Effect of L-carnitine on metabolism,9,1,0.1111111111111111
WP4222,Phosphodiesterases in neuronal function,9,1,0.1111111111111111
WP4432,ESR-mediated signaling,9,1,0.1111111111111111
WP4919,Neuroinflammation,9,1,0.1111111111111111
WP5016,FLT3 Signaling,9,1,0.1111111111111111
WP5186,Vitamin K metabolism and activation of dependent proteins,9,1,0.1111111111111111
WP5274,Farnesyl to CoQ10 metabolism,9,1,0.1111111111111111
WP5315,Sebaleic acid formation and metabolism,9,1,0.1111111111111111
WP4097,Nicotinate metabolism,46,5,0.10869565217391304
WP156,Gluconeogenesis,19,2,0.10526315789473684
WP4195,Phosphatidylcholine catabolism,19,2,0.10526315789473684
WP4629,Aerobic glycolysis,19,2,0.10526315789473684
WP4688,Serine metabolism,19,2,0.10526315789473684
WP4022,Pyrimidine metabolism,40,4,0.1
WP1831,Integration of energy metabolism,30,3,0.1
WP4313,Ferroptosis,30,3,0.1
WP5004,Lysine catabolism,30,3,0.1
WP1885,Platelet homeostasis,20,2,0.1
WP3869,Cannabinoid receptor signaling,20,2,0.1
WP3916,Hexoses metabolism in proximal tubules,20,2,0.1
WP4506,Tyrosine metabolism and related disorders,20,2,0.1
WP1804,DNA Damage Reversal,10,1,0.1
WP1910,Signaling by EGFR,10,1,0.1
WP1925,Synthesis of DNA,10,1,0.1
WP2622,Starch metabolism,10,1,0.1
WP2688,DAG and IP3 signaling,10,1,0.1
WP2757,Mitotic Metaphase and Anaphase,10,1,0.1
WP3543,DNA Double Strand Break Response,10,1,0.1
WP3558,Beta-catenin independent WNT signaling,10,1,0.1
WP3679,Cell-type dependent selectivity of CCK2R signaling,10,1,0.1
WP3810,Cardiac conduction,10,1,0.1
WP3963,Mevalonate pathway,10,1,0.1
WP5009,Proline catabolism,10,1,0.1
WP508,Biosynthesis of aldosterone and cortisol,10,1,0.1
WP86,Heme biosynthesis,10,1,0.1
WP95,Pyrimidine ribonucleotide salvage pathways,10,1,0.1
WP2724,Alpha-linolenic (omega-3) and linoleic (omega-6) acid metabolism,41,4,0.0975609756097561
WP4584,Biomarkers for pyrimidine metabolism disorders,31,3,0.0967741935483871
WP4059,Interconversion of nucleotide di- and triphosphates,42,4,0.09523809523809523
WP2741,Inositol phosphate metabolism,21,2,0.09523809523809523
WP4977,Extra-nuclear estrogen signaling,21,2,0.09523809523809523
WP5333,Enterocyte cholesterol metabolism,21,2,0.09523809523809523
WP1937,"Transport of vitamins, nucleosides, and related molecules",53,5,0.09433962264150944
WP4419,Class A/1 (rhodopsin-like receptors),75,7,0.09333333333333334
WP2621,Glycolysis,22,2,0.09090909090909091
WP1002,Electron transport chain,11,1,0.09090909090909091
WP111,Electron transport chain: OXPHOS system in mitochondria,11,1,0.09090909090909091
WP1119,Electron transport chain,11,1,0.09090909090909091
WP1339,Electron transport chain,11,1,0.09090909090909091
WP295,Electron transport chain,11,1,0.09090909090909091
WP3246,Endothelin pathways,11,1,0.09090909090909091
WP3397,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,11,1,0.09090909090909091
WP4756,Renin-angiotensin-aldosterone system (RAAS),11,1,0.09090909090909091
WP478,Glycogen catabolism,11,1,0.09090909090909091
WP5216,Warburg effect modulated by deubiquitinating enzymes and their substrates,11,1,0.09090909090909091
WP55,Steroid biosynthesis,11,1,0.09090909090909091
WP563,Glycerol teichoic acid biosynthesis,11,1,0.09090909090909091
WP1850,Metabolism of nitric oxide: NOS3 activation and regulation,23,2,0.08695652173913043
WP4427,G alpha (s) signaling events,23,2,0.08695652173913043
WP4598,Glucosinolate biosynthesis (from aromatic amino acid),23,2,0.08695652173913043
WP5304,Cholesterol metabolism,23,2,0.08695652173913043
WP2776,Visual phototransduction,35,3,0.08571428571428572
WP1533,Vitamin B12 metabolism,47,4,0.0851063829787234
WP3193,Vitamin B12 metabolism,47,4,0.0851063829787234
WP1024,Steroid biosynthesis,12,1,0.08333333333333333
WP1043,Calcium regulation in cardiac cell,12,1,0.08333333333333333
WP1159,Calcium regulation in cardiac cells,12,1,0.08333333333333333
WP1815,Factors involved in megakaryocyte development and platelet production,12,1,0.08333333333333333
WP2197,Endothelin pathways,12,1,0.08333333333333333
WP2263,Androgen receptor network in prostate cancer,12,1,0.08333333333333333
WP2630,Gluconeogenesis,12,1,0.08333333333333333
WP3232,Sphingolipid metabolism,12,1,0.08333333333333333
WP3553,Synthesis of wybutosine at G37 of tRNA(Phe),12,1,0.08333333333333333
WP381,"Riboflavin, FMN, and FAD biosynthesis",12,1,0.08333333333333333
WP4058,HSP90 chaperone cycle for steroid hormone receptors (SHR),12,1,0.08333333333333333
WP4142,Metabolism of sphingolipids in ER and Golgi apparatus,12,1,0.08333333333333333
WP4288,MTHFR deficiency,12,1,0.08333333333333333
WP4784,Proteoglycan biosynthesis,12,1,0.08333333333333333
WP496,Steroid biosynthesis,12,1,0.08333333333333333
WP5136,ALA oxylipin metabolism,12,1,0.08333333333333333
WP5166,Glyoxylate metabolism,12,1,0.08333333333333333
WP5169,Hemesynthesis defects and porphyrias,12,1,0.08333333333333333
WP536,Calcium regulation in cardiac cells,12,1,0.08333333333333333
WP553,Calcium regulation in cardiac cells,12,1,0.08333333333333333
WP66,Steroid biosynthesis,12,1,0.08333333333333333
WP808,Calcium regulation in cardiac cells,12,1,0.08333333333333333
WP923,Calcium regulation in cardiac cells,12,1,0.08333333333333333
WP3604,Biochemical pathways: part I,419,34,0.081145584725537
WP4156,Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine,25,2,0.08
WP4350,Omega-3 / omega-6 fatty acid synthesis,38,3,0.07894736842105263
WP4723,Omega-3 / omega-6 fatty acid synthesis,38,3,0.07894736842105263
WP2562,Relationship between glutathione and NADPH,39,3,0.07692307692307693
WP4082,Nucleotide salvage,39,3,0.07692307692307693
WP2762,"Gamma carboxylation, hypusine formation and arylsulfatase activation",26,2,0.07692307692307693
WP4504,Cysteine and methionine catabolism,26,2,0.07692307692307693
WP1186,Cholesterol biosynthesis,13,1,0.07692307692307693
WP126,Fatty acid beta-oxidation 1,13,1,0.07692307692307693
WP1387,Cholesterol biosynthesis,13,1,0.07692307692307693
WP2848,Pluripotent stem cell differentiation pathway,13,1,0.07692307692307693
WP3118,Monoamine transport,13,1,0.07692307692307693
WP3223,Differentiation pathway,13,1,0.07692307692307693
WP3579,Surfactant metabolism,13,1,0.07692307692307693
WP3641,SK UDPglcnac,13,1,0.07692307692307693
WP370,Sphingolipid metabolism,13,1,0.07692307692307693
WP4090,Choline catabolism,13,1,0.07692307692307693
WP4599,Glucosinolate biosynthesis from branched-chain amino acid,13,1,0.07692307692307693
WP4698,Vitamin D-sensitive calcium signaling in depression,13,1,0.07692307692307693
WP4941,GPR143 in melanocytes and retinal pigment epithelium cells,13,1,0.07692307692307693
WP5137,Linoleic acid oxylipin metabolism,13,1,0.07692307692307693
WP5224,2q37 copy number variation syndrome,13,1,0.07692307692307693
WP5348,11p11.2 copy number variation syndrome,13,1,0.07692307692307693
WP5380,5q35 copy number variation,13,1,0.07692307692307693
WP727,Monoamine transport,13,1,0.07692307692307693
WP833,Cholesterol biosynthesis,13,1,0.07692307692307693
WP952,Cholesterol biosynthesis,13,1,0.07692307692307693
WP15,Selenium micronutrient network,92,7,0.07608695652173914
WP3257,Selenium micronutrient network,92,7,0.07608695652173914
WP1310,Selenium micronutrient network,54,4,0.07407407407407407
WP2740,Glycerophospholipid biosynthesis,41,3,0.07317073170731707
WP1272,Selenium micronutrient network,55,4,0.07272727272727272
WP103,Cholesterol biosynthesis,14,1,0.07142857142857142
WP3114,Cori cycle,14,1,0.07142857142857142
WP3561,tRNA modification in the nucleus and cytosol,14,1,0.07142857142857142
WP4804,Cholesterol biosynthesis with skeletal dysplasias,14,1,0.07142857142857142
WP3574,Sulfur amino acid metabolism,59,4,0.06779661016949153
WP4042,Nucleobase catabolism,75,5,0.06666666666666667
WP4050,Pentose phosphate pathway,30,2,0.06666666666666667
WP1070,Cholesterol biosynthesis,15,1,0.06666666666666667
WP1241,Glucuronidation,15,1,0.06666666666666667
WP1276,Glucuronidation,15,1,0.06666666666666667
WP1461,Photosynthetic carbon reduction,15,1,0.06666666666666667
WP197,Cholesterol biosynthesis pathway,15,1,0.06666666666666667
WP260,Glucose-1-phosphate metabolism,15,1,0.06666666666666667
WP2784,Binding and uptake of ligands by scavenger receptors,15,1,0.06666666666666667
WP3210,Glucuronidation,15,1,0.06666666666666667
WP3644,NAD+ metabolism,15,1,0.06666666666666667
WP3790,Wax and plasmalogen biosynthesis,15,1,0.06666666666666667
WP4969,RAS and bradykinin pathways in COVID-19,15,1,0.06666666666666667
WP4996,Carnitine synthesis,15,1,0.06666666666666667
WP5194,Synthesis of ceramides and 1-deoxyceramides,15,1,0.06666666666666667
WP5320,Male steroid hormones in cardiomyocyte energy metabolism,15,1,0.06666666666666667
WP617,Ureide biosynthesis,15,1,0.06666666666666667
WP632,Cholesterol metabolism,15,1,0.06666666666666667
WP698,Glucuronidation,15,1,0.06666666666666667
WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,31,2,0.06451612903225806
WP4096,Chromatin organization,16,1,0.0625
WP515,Glycolysis and gluconeogenesis,16,1,0.0625
WP4423,G alpha (i) signaling events,83,5,0.060240963855421686
WP2185,Purine metabolism,50,3,0.06
WP3556,Branched-chain amino acid catabolism,34,2,0.058823529411764705
WP1422,Sphingolipid pathway,17,1,0.058823529411764705
WP2623,Sucrose metabolism,17,1,0.058823529411764705
WP5021,SARS-CoV-2 Infection,17,1,0.058823529411764705
WP5043,Pentose phosphate pathway in senescent cells,17,1,0.058823529411764705
WP5094,Orexin receptor pathway,17,1,0.058823529411764705
WP5193,Cholesterol synthesis disorders,17,1,0.058823529411764705
WP5277,Steroid hormone precursor biosynthesis,17,1,0.058823529411764705
WP561,Heme biosynthesis,17,1,0.058823529411764705
WP967,Heme biosynthesis,17,1,0.058823529411764705
WP1785,Asparagine N-linked glycosylation,54,3,0.05555555555555555
WP121,Colanic acid building blocks biosynthesis,18,1,0.05555555555555555
WP1538,Flavonoid biosynthesis,18,1,0.05555555555555555
WP253,Glycolysis,18,1,0.05555555555555555
WP4344,Sphingolipid metabolism overview,18,1,0.05555555555555555
WP4524,Alternative pathway of fetal androgen synthesis,18,1,0.05555555555555555
WP5020,SARS-CoV-1 Infection,18,1,0.05555555555555555
WP5064,7-oxo-C and 7-beta-HC pathways,18,1,0.05555555555555555
WP4111,Phase II - Conjugation of compounds,145,8,0.05517241379310345
WP5241,Mitochondrial beta-oxidation,114,6,0.05263157894736842
WP3306,Aflatoxin activation and detoxification,19,1,0.05263157894736842
WP4039,Fructose metabolism,19,1,0.05263157894736842
WP4098,Ion channel transport,19,1,0.05263157894736842
WP4725,Sphingolipid metabolism overview,19,1,0.05263157894736842
WP2634,Brassinolide biosynthetic pathway,20,1,0.05
WP2824,Detoxification of reactive oxygen species,20,1,0.05
WP3363,Sialic acid metabolism,20,1,0.05
WP1919,Signaling by VEGF,21,1,0.047619047619047616
WP4101,Antimicrobial peptides,21,1,0.047619047619047616
WP5037,Riboflavin and CoQ disorders,21,1,0.047619047619047616
WP2788,Sphingolipid metabolism,44,2,0.045454545454545456
WP3165,Neurotransmitter clearance in synaptic cleft,22,1,0.045454545454545456
WP3871,Valproic acid pathway,22,1,0.045454545454545456
WP1857,Metabolism of water-soluble vitamins and cofactors,68,3,0.04411764705882353
WP1795,Cholesterol biosynthesis,46,2,0.043478260869565216
WP4418,Class C/3 (metabotropic glutamate/pheromone receptors),46,2,0.043478260869565216
WP4173,Sulfate assimilation and copper detoxification,23,1,0.043478260869565216
WP1870,Neurotransmitter clearance,24,1,0.041666666666666664
WP1946,Cori cycle,24,1,0.041666666666666664
WP4792,Purine metabolism,24,1,0.041666666666666664
WP4994,Tryptophan catabolism,24,1,0.041666666666666664
WP1788,Bile acid and bile salt metabolism,75,3,0.04
WP2289,Drug induction of bile acid pathway,25,1,0.04
WP3253,Drug induction of bile acid pathway,25,1,0.04
WP1878,Peroxisomal lipid metabolism,51,2,0.0392156862745098
WP3791,Selenoamino acid metabolism,51,2,0.0392156862745098
WP4519,"Cerebral organic acidurias, including diseases",26,1,0.038461538461538464
WP1126,Tryptophan metabolism,27,1,0.037037037037037035
WP3551,ROS and RNS production in phagocytes,27,1,0.037037037037037035
WP4523,Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism,28,1,0.03571428571428571
WP4993,Anti-inflammatory response favouring Leishmania parasite infection,28,1,0.03571428571428571
WP4034,Mitochondrial fatty acid beta-oxidation,58,2,0.034482758620689655
WP3562,Glyoxylate metabolism and glycine degradation,29,1,0.034482758620689655
WP4085,Phase I - Functionalization of compounds,177,6,0.03389830508474576
WP2436,Dopamine metabolism,31,1,0.03225806451612903
WP3155,Dopamine metabolism,31,1,0.03225806451612903
WP4686,"Leucine, isoleucine and valine metabolism",63,2,0.031746031746031744
WP2650,Arachidonic acid metabolism,64,2,0.03125
WP143,Fatty acid beta-oxidation,32,1,0.03125
WP2749,Metabolism of steroid hormones,33,1,0.030303030303030304
WP5324,Octadecanoid formation from linoleic acid,35,1,0.02857142857142857
WP2743,Glycosaminoglycan metabolism,36,1,0.027777777777777776
WP5329,Cholesterol biosynthesis pathway in hepatocytes,36,1,0.027777777777777776
WP4949,16p11.2 proximal deletion syndrome,37,1,0.02702702702702703
WP1852,Metabolism of porphyrins,39,1,0.02564102564102564
WP5176,Disorders of bile acid synthesis and biliary transport,39,1,0.02564102564102564
WP4718,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,42,1,0.023809523809523808
WP4545,Oxysterols derived from cholesterol,48,1,0.020833333333333332
WP3248,Tryptophan metabolism,51,1,0.0196078431372549
WP4439,Biosynthesis of DHA-derived SPMs,51,1,0.0196078431372549
WP4900,Purinergic signaling,52,1,0.019230769230769232
WP465,Tryptophan metabolism,57,1,0.017543859649122806
WP4346,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,61,1,0.01639344262295082
WP4597,Glucosinolate biosynthesis from methionine,61,1,0.01639344262295082
WP4690,Sphingolipid metabolism (integrated pathway),67,1,0.014925373134328358
WP4726,Sphingolipid metabolism: integrated pathway,67,1,0.014925373134328358
WP79,Tryptophan metabolism,71,1,0.014084507042253521
WP1000,Arachidonate epoxygenase / epoxide hydrolase,9,0,0.0
WP1001,Peptide GPCRs,2,0,0.0
WP1007,Osteoclast signaling,3,0,0.0
WP1010,Wnt signaling pathway and pluripotency,1,0,0.0
WP1015,Ketone bodies synthesis and degradation,5,0,0.0
WP102,Heme biosynthesis,15,0,0.0
WP1023,mRNA Processing,1,0,0.0
WP1028,Pentose phosphate pathway,10,0,0.0
WP1033,ACE inhibitor pathway,10,0,0.0
WP1034,Acetylcholine synthesis,10,0,0.0
WP1042,Nucleotide GPCRs,2,0,0.0
WP1049,G protein signaling pathways,3,0,0.0
WP1053,Estrogen metabolism,14,0,0.0
WP1056,Complement and coagulation cascades,1,0,0.0
WP1062,Actin cytoskeleton regulation,3,0,0.0
WP1065,Endochondral ossification,2,0,0.0
WP1067,Toll-like receptor signaling pathway,1,0,0.0
WP1068,Nuclear receptors,2,0,0.0
WP1072,"GPCRs, class A rhodopsin-like",9,0,0.0
WP1073,Glycogen metabolism,6,0,0.0
WP1076,Monoamine GPCRs,8,0,0.0
WP1077,Oxidation by cytochrome P450,8,0,0.0
WP1079,Proteasome degradation,1,0,0.0
WP108,Selenium metabolism / selenoproteins,2,0,0.0
WP1080,Irinotecan pathway,3,0,0.0
WP1086,Heme biosynthesis,7,0,0.0
WP1090,Eicosanoid synthesis,13,0,0.0
WP1114,MAPK signaling pathway,4,0,0.0
WP1134,Ketone bodies synthesis and degradation,5,0,0.0
WP1142,mRNA Processing,1,0,0.0
WP1151,ACE inhibitor pathway,4,0,0.0
WP1157,Statin pathway,1,0,0.0
WP1165,G protein signaling pathways,3,0,0.0
WP1170,Polyol pathway,8,0,0.0
WP1189,Glycogen metabolism,3,0,0.0
WP1193,Monoamine GPCRs,4,0,0.0
WP12,Osteoclast signaling,3,0,0.0
WP1211,Arylamine metabolism,3,0,0.0
WP1217,Aflatoxin B1 metabolism,6,0,0.0
WP1218,Polyol pathway,8,0,0.0
WP1221,Heme biosynthesis,7,0,0.0
WP1231,Pentose phosphate pathway,9,0,0.0
WP1236,Polyol pathway,8,0,0.0
WP124,Irinotecan pathway,4,0,0.0
WP1244,Estrogen signaling,2,0,0.0
WP1245,Transcriptional activation by Nfe2l2 in response to phytochemicals,2,0,0.0
WP1248,Oxidative phosphorylation,5,0,0.0
WP1250,Arachidonate epoxygenase / epoxide hydrolase,9,0,0.0
WP1259,Retinol metabolism,9,0,0.0
WP1262,Aflatoxin B1 metabolism,5,0,0.0
WP1263,Mitochondrial gene expression,2,0,0.0
WP1264,Estrogen metabolism,15,0,0.0
WP1265,Polyol pathway,8,0,0.0
WP1266,SIDS susceptibility pathways,4,0,0.0
WP1269,Fatty acid beta-oxidation,8,0,0.0
WP1270,Endochondral ossification,2,0,0.0
WP1274,Oxidation by cytochrome P450,8,0,0.0
WP1279,Estrogen signaling,2,0,0.0
WP1280,Transcriptional activation by Nfe2l2 in response to phytochemicals,2,0,0.0
WP1283,Oxidative phosphorylation,5,0,0.0
WP1293,Selenium metabolism selenoproteins,3,0,0.0
WP1297,Retinol metabolism,10,0,0.0
WP13,DNA replication,3,0,0.0
WP1300,Aflatoxin B1 metabolism,5,0,0.0
WP1301,Mitochondrial gene expression,2,0,0.0
WP1302,Estrogen metabolism,14,0,0.0
WP1303,Polyol pathway,8,0,0.0
WP1309,Toll-like receptor signaling pathway,1,0,0.0
WP1318,Eicosanoid synthesis,13,0,0.0
WP1330,Estrogen signaling,2,0,0.0
WP1335,Oxidative phosphorylation,5,0,0.0
WP1337,MAPK signaling pathway,4,0,0.0
WP134,Pentose phosphate metabolism,10,0,0.0
WP1358,Selenium metabolism selenoproteins,3,0,0.0
WP1375,Polyol pathway,8,0,0.0
WP1388,Glycogen metabolism,5,0,0.0
WP1389,Monoamine GPCRs,4,0,0.0
WP140,Myometrial relaxation and contraction pathways,3,0,0.0
WP1403,AMP-activated protein kinase signaling,8,0,0.0
WP142,mRNA processing,1,0,0.0
WP1423,Ganglio sphingolipid metabolism,19,0,0.0
WP1438,Influenza A virus infection,2,0,0.0
WP1455,Serotonin transporter activity,3,0,0.0
WP146,Nucleotide metabolism,2,0,0.0
WP1471,Target of rapamycin signaling,1,0,0.0
WP148,Fatty acid beta-oxidation 2,11,0,0.0
WP1498,Dopaminergic neurogenesis,1,0,0.0
WP152,FGF signaling pathway,1,0,0.0
WP1528,Physiological and pathological hypertrophy of the heart,2,0,0.0
WP1530,miRNA regulation of DNA damage response,3,0,0.0
WP1544,MicroRNAs in cardiomyocyte hypertrophy,3,0,0.0
WP1560,MicroRNAs in cardiomyocyte hypertrophy,3,0,0.0
WP1567,Glycolysis and gluconeogenesis,20,0,0.0
WP158,Proteasome degradation,1,0,0.0
WP1581,Histidine metabolism,20,0,0.0
WP1584,Type II diabetes mellitus,5,0,0.0
WP1596,Iron homeostasis,1,0,0.0
WP16,"Fatty acid elongation, unsaturated",1,0,0.0
WP160,Glycogen metabolism,3,0,0.0
WP1600,Nicotine metabolism in liver cells,11,0,0.0
WP1601,Fluoropyrimidine activity,18,0,0.0
WP1603,Nicotine effect on chromaffin cells,5,0,0.0
WP1604,Codeine and morphine metabolism,7,0,0.0
WP161,Small ligand GPCRs,1,0,0.0
WP1622,Ascorbate and aldarate metabolism,7,0,0.0
WP1631,Biotin metabolism,10,0,0.0
WP1652,Fructose and mannose metabolism,9,0,0.0
WP167,Eicosanoid synthesis,26,0,0.0
WP170,Nuclear receptors,2,0,0.0
WP175,Acetylcholine synthesis,10,0,0.0
WP1772,Apoptosis modulation and signaling,1,0,0.0
WP1775,Cell cycle checkpoints,3,0,0.0
WP1781,Advanced glycosylation endproduct receptor signaling,2,0,0.0
WP1784,Apoptotic execution phase,2,0,0.0
WP1793,Cell junction organization,1,0,0.0
WP1798,Complement cascade,4,0,0.0
WP18,Heme biosynthesis,12,0,0.0
WP1800,Presynaptic depolarization and calcium channel opening,2,0,0.0
WP1802,Dissolution of Fibrin Clot,1,0,0.0
WP1803,DNA Damage Bypass,8,0,0.0
WP1809,Effects of PIP2 hydrolysis,10,0,0.0
WP181,P-cymene degradation,7,0,0.0
WP1818,Formation of Fibrin Clot and the Clotting Cascade,3,0,0.0
WP1820,Gap junction trafficking and regulation,2,0,0.0
WP1826,GPVI-mediated activation cascade,3,0,0.0
WP1829,Immunoregulatory interactions between lymphoid and non-lymphoid cells,13,0,0.0
WP183,Proteasome degradation,1,0,0.0
WP1839,Interleukin-1 family signaling,4,0,0.0
WP1840,"Interleukin-3, Interleukin-5 and GM-CSF signaling",2,0,0.0
WP1842,Kinesins,2,0,0.0
WP1862,mRNA Editing,2,0,0.0
WP1865,Myogenesis,2,0,0.0
WP1867,Nephrin family interactions,2,0,0.0
WP1868,Netrin-1 signaling,5,0,0.0
WP1883,Platelet adhesion to exposed collagen,1,0,0.0
WP1884,Platelet Aggregation (Plug Formation),3,0,0.0
WP1887,Post-translational modification: synthesis of GPI-anchored proteins,5,0,0.0
WP189,"GPCRs, class A rhodopsin-like",5,0,0.0
WP1895,Rap1 signaling,5,0,0.0
WP1896,Regulation of apoptosis,1,0,0.0
WP1904,DDX58/IFIH1-mediated induction of interferon-alpha/beta,5,0,0.0
WP1908,Signal amplification,3,0,0.0
WP1909,Signal regulatory protein family interactions,2,0,0.0
WP192,DNA replication,7,0,0.0
WP1926,Transport of glycerol from adipocytes to liver by aquaporins,1,0,0.0
WP1929,Thrombin signaling through proteinase activated receptors (PARs),1,0,0.0
WP1934,Transmission across Electrical Synapses,1,0,0.0
WP1939,Unfolded Protein Response,2,0,0.0
WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,11,0,0.0
WP195,IL-1 signaling pathway,1,0,0.0
WP1965,VEGF-receptor signal transduction,2,0,0.0
WP1983,Splicing factor NOVA regulated synaptic proteins,1,0,0.0
WP200,"Complement activation, classical pathway",1,0,0.0
WP2007,Iron metabolism in placenta,2,0,0.0
WP2018,RANKL/RANK signaling pathway,1,0,0.0
WP2059,Alzheimer's disease and miRNA effects,10,0,0.0
WP206,Fatty acid omega-oxidation,4,0,0.0
WP207,Nucleotide GPCRs,2,0,0.0
WP2075,Alzheimer's disease,7,0,0.0
WP2079,Serotonin receptor 2 and STAT3 signaling,1,0,0.0
WP2118,Arrhythmogenic right ventricular cardiomyopathy,3,0,0.0
WP2132,Serotonin and anxiety,2,0,0.0
WP214,Pyruvate dehydrogenase pathway,7,0,0.0
WP2140,Serotonin and anxiety-related events,2,0,0.0
WP2141,Serotonin and anxiety,4,0,0.0
WP215,Non-canonical Wnt pathway,1,0,0.0
WP2204,Lycopene biosynthesis,7,0,0.0
WP2205,Carotenoid biosynthesis,12,0,0.0
WP2209,Momilactone biosynthesis,3,0,0.0
WP2210,Oryzalexin S biosynthesis,4,0,0.0
WP2211,Geranylgeranyldiphosphate biosynthesis II (plastidic),5,0,0.0
WP2212,Methylerythritol phosphate pathway,19,0,0.0
WP2230,Chlorophyll b degradation,4,0,0.0
WP2233,Immune responses in the epidermis,2,0,0.0
WP2235,Sulfide oxidation pathway,9,0,0.0
WP224,Aerobic glycerol catabolism,8,0,0.0
WP2258,DON mycotoxin biosynthesis,11,0,0.0
WP2261,Glioblastoma signaling pathways,1,0,0.0
WP229,Irinotecan pathway,5,0,0.0
WP2292,Chemokine signaling pathway,4,0,0.0
WP231,TNF-alpha signaling pathway,1,0,0.0
WP2316,PPAR signaling pathway,2,0,0.0
WP2318,Fatty acid oxidation,9,0,0.0
WP232,G protein signaling pathways,3,0,0.0
WP2328,Allograft rejection,7,0,0.0
WP2355,Corticotropin-releasing hormone signaling pathway,4,0,0.0
WP2360,Folate biosynthesis,4,0,0.0
WP2366,Butyrate-induced histone acetylation,2,0,0.0
WP2376,"Nuclear factor, erythroid-derived 2, like 2 signaling pathway",2,0,0.0
WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,3,0,0.0
WP24,Peptide GPCRs,2,0,0.0
WP2406,Cardiac progenitor differentiation,1,0,0.0
WP2431,Spinal cord injury,9,0,0.0
WP2432,Spinal cord injury,7,0,0.0
WP2433,Spinal cord injury,7,0,0.0
WP2435,Quercetin and Nf-kB / AP-1 induced apoptosis,9,0,0.0
WP247,Small ligand GPCRs,2,0,0.0
WP2488,NAD salvage pathway III,7,0,0.0
WP2491,Diclofenac metabolic pathway,6,0,0.0
WP2507,Nanomaterial induced apoptosis,1,0,0.0
WP2513,Nanoparticle triggered regulated necrosis,6,0,0.0
WP2526,PDGF pathway,8,0,0.0
WP2536,Colchicine metabolic pathway,3,0,0.0
WP2541,Sulindac metabolic pathway,3,0,0.0
WP2542,Sulindac metabolic pathway,3,0,0.0
WP257,Starch and cellulose biosynthesis,14,0,0.0
WP2572,Primary focal segmental glomerulosclerosis (FSGS),2,0,0.0
WP2573,Primary focal segmental glomerulosclerosis (FSGS),2,0,0.0
WP2583,T cell receptor and co-stimulatory signaling,4,0,0.0
WP2586,Aryl hydrocarbon receptor pathway,1,0,0.0
WP2587,Chicken limb development,1,0,0.0
WP2596,Gastric acid production,6,0,0.0
WP2597,Secretion of hydrochloric acid in parietal cells,9,0,0.0
WP2626,ABA biosynthesis,5,0,0.0
WP2628,Gibberellin A12 biosynthesis,9,0,0.0
WP2631,Superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,14,0,0.0
WP2633,Pto kinase mediated signaling pathway leading to the oxidative burst in tomato,6,0,0.0
WP264,Acetylcholine synthesis,6,0,0.0
WP2640,Aripiprazole metabolic pathway,2,0,0.0
WP2645,Heroin metabolism,3,0,0.0
WP2646,Lidocaine metabolism,8,0,0.0
WP2656,TAK1 activates NF-kB by phosphorylation and activation of IKK complex,6,0,0.0
WP2662,Vasopressin regulates renal water homeostasis via aquaporins,6,0,0.0
