pathway	compound	inchikey
map01100	C00001	XLYOFNOQVPJJNP-UHFFFAOYSA-N
map01100	C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
map01100	C00003	BAWFJGJZGIEFAR-NNYOXOHSSA-O
map01100	C00004	BOPGDPNILDQYTO-NNYOXOHSSA-N
map01100	C00005	ACFIXJIJDZMPPO-NNYOXOHSSA-N
map01100	C00006	XJLXINKUBYWONI-NNYOXOHSSA-O
map01100	C00007	MYMOFIZGZYHOMD-UHFFFAOYSA-N
map01100	C00008	XTWYTFMLZFPYCI-KQYNXXCUSA-N
map01100	C00010	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
map01100	C00011	CURLTUGMZLYLDI-UHFFFAOYSA-N
map01100	C00012	
map01100	C00014	QGZKDVFQNNGYKY-UHFFFAOYSA-N
map01100	C00015	XCCTYIAWTASOJW-XVFCMESISA-N
map01100	C00016	VWWQXMAJTJZDQX-UYBVJOGSSA-N
map01100	C00018	NGVDGCNFYWLIFO-UHFFFAOYSA-N
map01100	C00019	MEFKEPWMEQBLKI-AIRLBKTGSA-N
map01100	C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N
map01100	C00021	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
map01100	C00022	LCTONWCANYUPML-UHFFFAOYSA-N
map01100	C00024	ZSLZBFCDCINBPY-ZSJPKINUSA-N
map01100	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N
map01100	C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N
map01100	C00029	HSCJRCZFDFQWRP-JZMIEXBBSA-N
map01100	C00031	WQZGKKKJIJFFOK-GASJEMHNSA-N
map01100	C00032	KABFMIBPWCXCRK-RGGAHWMASA-L
map01100	C00033	QTBSBXVTEAMEQO-UHFFFAOYSA-N
map01100	C00034	PWHULOQIROXLJO-UHFFFAOYSA-N
map01100	C00035	QGWNDRXFNXRZMB-UUOKFMHZSA-N
map01100	C00036	KHPXUQMNIQBQEV-UHFFFAOYSA-N
map01100	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N
map01100	C00039	
map01100	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N
map01100	C00042	KDYFGRWQOYBRFD-UHFFFAOYSA-N
map01100	C00043	LFTYTUAZOPRMMI-CFRASDGPSA-N
map01100	C00044	XKMLYUALXHKNFT-UUOKFMHZSA-N
map01100	C00046	
map01100	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N
map01100	C00048	HHLFWLYXYJOTON-UHFFFAOYSA-N
map01100	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N
map01100	C00051	RWSXRVCMGQZWBV-WDSKDSINSA-N
map01100	C00052	HSCJRCZFDFQWRP-WBRQRZOHSA-N
map01100	C00053	GACDQMDRPRGCTN-KQYNXXCUSA-N
map01100	C00054	WHTCPDAXWFLDIH-KQYNXXCUSA-N
map01100	C00055	IERHLVCPSMICTF-XVFCMESISA-N
map01100	C00058	BDAGIHXWWSANSR-UHFFFAOYSA-N
map01100	C00059	QAOWNCQODCNURD-UHFFFAOYSA-N
map01100	C00061	FVTCRASFADXXNN-SCRDCRAPSA-N
map01100	C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N
map01100	C00063	PCDQPRRSZKQHHS-XVFCMESISA-N
map01100	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N
map01100	C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N
map01100	C00067	WSFSSNUMVMOOMR-UHFFFAOYSA-N
map01100	C00068	AYEKOFBPNLCAJY-UHFFFAOYSA-O
map01100	C00072	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
map01100	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N
map01100	C00074	DTBNBXWJWCWCIK-UHFFFAOYSA-N
map01100	C00075	PGAVKCOVUIYSFO-XVFCMESISA-N
map01100	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N
map01100	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N
map01100	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N
map01100	C00080	GPRLSGONYQIRFK-UHFFFAOYSA-N
map01100	C00081	HAEJPQIATWHALX-KQYNXXCUSA-N
map01100	C00082	OUYCCCASQSFEME-QMMMGPOBSA-N
map01100	C00083	LTYOQGRJFJAKNA-DVVLENMVSA-N
map01100	C00084	IKHGUXGNUITLKF-UHFFFAOYSA-N
map01100	C00085	BGWGXPAPYGQALX-VRPWFDPXSA-N
map01100	C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N
map01100	C00087	RWSOTUBLDIXVET-UHFFFAOYSA-N
map01100	C00088	IOVCWXUNBOPUCH-UHFFFAOYSA-N
map01100	C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N
map01100	C00090	YCIMNLLNPGFGHC-UHFFFAOYSA-N
map01100	C00091	VNOYUJKHFWYWIR-ITIYDSSPSA-N
map01100	C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N
map01100	C00093	AWUCVROLDVIAJX-GSVOUGTGSA-N
map01100	C00094	LSNNMFCWUKXFEE-UHFFFAOYSA-N
map01100	C00095	RFSUNEUAIZKAJO-VRPWFDPXSA-N
map01100	C00096	MVMSCBBUIHUTGJ-GDJBGNAASA-N
map01100	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N
map01100	C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N
map01100	C00100	QAQREVBBADEHPA-IEXPHMLFSA-N
map01100	C00101	MSTNYGQPCMXVAQ-RYUDHWBXSA-N
map01100	C00103	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
map01100	C00104	JPXZQMKKFWMMGK-KQYNXXCUSA-N
map01100	C00105	DJJCXFVJDGTHFX-XVFCMESISA-N
map01100	C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N
map01100	C00108	RWZYAGGXGHYGMB-UHFFFAOYSA-N
map01100	C00109	TYEYBOSBBBHJIV-UHFFFAOYSA-N
map01100	C00110	GYBNOAFGEKAZTA-QOLULZRONA-N
map01100	C00111	GNGACRATGGDKBX-UHFFFAOYSA-N
map01100	C00112	ZWIADYZPOWUWEW-XVFCMESISA-N
map01100	C00114	OEYIOHPDSNJKLS-UHFFFAOYSA-N
map01100	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N
map01100	C00117	KTVPXOYAKDPRHY-SOOFDHNKSA-N
map01100	C00118	LXJXRIRHZLFYRP-VKHMYHEASA-N
map01100	C00119	PQGCEDQWHSBAJP-TXICZTDVSA-N
map01100	C00120	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
map01100	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N
map01100	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N
map01100	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N
map01100	C00124	WQZGKKKJIJFFOK-SVZMEOIVSA-N
map01100	C00127	YPZRWBKMTBYPTK-BJDJZHNGSA-N
map01100	C00128	TXCIAUNLDRJGJZ-BILDWYJOSA-N
map01100	C00129	NUHSROFQTUXZQQ-UHFFFAOYSA-N
map01100	C00130	GRSZFWQUAKGDAV-KQYNXXCUSA-N
map01100	C00131	SUYVUBYJARFZHO-RRKCRQDMSA-N
map01100	C00132	OKKJLVBELUTLKV-UHFFFAOYSA-N
map01100	C00133	QNAYBMKLOCPYGJ-UWTATZPHSA-N
map01100	C00134	KIDHWZJUCRJVML-UHFFFAOYSA-N
map01100	C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N
map01100	C00136	CRFNGMNYKDXRTN-CITAKDKDSA-N
map01100	C00137	CDAISMWEOUEBRE-GPIVLXJGSA-N
map01100	C00140	OVRNDRQMDRJTHS-RTRLPJTCSA-N
map01100	C00141	QHKABHOOEWYVLI-UHFFFAOYSA-N
map01100	C00143	QYNUQALWYRSVHF-PZORYLMUSA-N
map01100	C00144	RQFCJASXJCIDSX-UUOKFMHZSA-N
map01100	C00146	ISWSIDIOOBJBQZ-UHFFFAOYSA-N
map01100	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N
map01100	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N
map01100	C00149	BJEPYKJPYRNKOW-REOHCLBHSA-N
map01100	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N
map01100	C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N
map01100	C00154	MNBKLUUYKPBKDU-BBECNAHFSA-N
map01100	C00155	FFFHZYDWPBMWHY-VKHMYHEASA-N
map01100	C00156	FJKROLUGYXJWQN-UHFFFAOYSA-N
map01100	C00157	
map01100	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N
map01100	C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N
map01100	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N
map01100	C00163	XBDQKXXYIPTUBI-UHFFFAOYSA-N
map01100	C00164	WDJHALXBUFZDSR-UHFFFAOYSA-N
map01100	C00166	BTNMPGBKDVTSJY-UHFFFAOYSA-N
map01100	C00167	HDYANYHVCAPMJV-LXQIFKJMSA-N
map01100	C00168	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
map01100	C00169	FFQKYPRQEYGKAF-UHFFFAOYSA-N
map01100	C00170	WUUGFSXJNOTRMR-IOSLPCCCSA-N
map01100	C00173	
map01100	C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N
map01100	C00179	QYPPJABKJHAVHS-UHFFFAOYSA-N
map01100	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N
map01100	C00181	SRBFZHDQGSBBOR-IOVATXLUSA-N
map01100	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N
map01100	C00184	RXKJFZQQPQGTFL-UHFFFAOYSA-N
map01100	C00185	GUBGYTABKSRVRQ-CUHNMECISA-N
map01100	C00186	JVTAAEKCZFNVCJ-REOHCLBHSA-N
map01100	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N
map01100	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N
map01100	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N
map01100	C00190	DQQDLYVHOTZLOR-WJCCNOJNSA-N
map01100	C00191	AEMOLEFTQBMNLQ-AQKNRBDQSA-N
map01100	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N
map01100	C00194	ZIHHMGTYZOSFRC-QRVZQHAISA-L
map01100	C00195	
map01100	C00197	OSJPPGNTCRNQQC-UWTATZPHSA-N
map01100	C00198	PHOQVHQSTUBQQK-SQOUGZDYSA-N
map01100	C00199	FNZLKVNUWIIPSJ-UHNVWZDZSA-N
map01100	C00203	LFTYTUAZOPRMMI-FTFHWYEPSA-N
map01100	C00204	WPAMZTWLKIDIOP-WVZVXSGGSA-N
map01100	C00206	DAEAPNUQQAICNR-RRKCRQDMSA-N
map01100	C00207	CSCPPACGZOOCGX-UHFFFAOYSA-N
map01100	C00208	GUBGYTABKSRVRQ-PICCSMPSSA-N
map01100	C00209	MUBZPKHOEPUJKR-UHFFFAOYSA-N
map01100	C00212	OIRDTQYFTABQOQ-KQYNXXCUSA-N
map01100	C00213	FSYKKLYZXJSNPZ-UHFFFAOYSA-N
map01100	C00214	IQFYYKKMVGJFEH-XLPZGREQSA-N
map01100	C00216	SRBFZHDQGSBBOR-ZRMNMSDTSA-N
map01100	C00217	WHUUTDBJXJRKMK-GSVOUGTGSA-N
map01100	C00218	BAVYZALUXZFZLV-UHFFFAOYSA-N
map01100	C00219	YZXBAPSDXZZRGB-DOFZRALJSA-N
map01100	C00221	WQZGKKKJIJFFOK-VFUOTHLCSA-N
map01100	C00222	OAKURXIZZOAYBC-UHFFFAOYSA-N
map01100	C00223	DMZOKBALNZWDKI-MATMFAIHSA-N
map01100	C00224	IRLPACMLTUPBCL-KQYNXXCUSA-N
map01100	C00227	LIPOUNRJVLNBCD-UHFFFAOYSA-N
map01100	C00229	
map01100	C00230	YQUVCSBJEUQKSH-UHFFFAOYSA-N
map01100	C00231	FNZLKVNUWIIPSJ-RFZPGFLSSA-N
map01100	C00232	UIUJIQZEACWQSV-UHFFFAOYSA-N
map01100	C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N
map01100	C00234	AUFGTPPARQZWDO-YPMHNXCESA-N
map01100	C00235	CBIDRCWHNCKSTO-UHFFFAOYSA-N
map01100	C00236	LJQLQCAXBUHEAZ-UWTATZPHSA-N
map01100	C00237	UGFAIRIUMAVXCW-UHFFFAOYSA-N
map01100	C00239	NCMVOABPESMRCP-SHYZEUOFSA-N
map01100	C00242	UYTPUPDQBNUYGX-UHFFFAOYSA-N
map01100	C00243	GUBGYTABKSRVRQ-QKKXKWKRSA-N
map01100	C00244	GRYLNZFGIOXLOG-UHFFFAOYSA-N
map01100	C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N
map01100	C00246	FERIUCNNQQJTOY-UHFFFAOYSA-N
map01100	C00247	LKDRXBCSQODPBY-AMVSKUEXSA-N
map01100	C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N
map01100	C00250	RADKZDMFGJYCBB-UHFFFAOYSA-N
map01100	C00251	WTFXTQVDAKGDEY-HTQZYQBOSA-N
map01100	C00252	DLRVVLDZNNYCBX-RTPHMHGBSA-N
map01100	C00253	PVNIIMVLHYAWGP-UHFFFAOYSA-N
map01100	C00254	FPWMCUPFBRFMLH-XGAOUMNUSA-N
map01100	C00255	AUNGANRZJHBGPY-SCRDCRAPSA-N
map01100	C00256	JVTAAEKCZFNVCJ-UWTATZPHSA-N
map01100	C00257	RGHNJXZEOKUKBD-SQOUGZDYSA-N
map01100	C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N
map01100	C00259	SRBFZHDQGSBBOR-HWQSCIPKSA-N
map01100	C00261	HUMNYLRZRPPJDN-UHFFFAOYSA-N
map01100	C00262	FDGQSTZJBFJUBT-UHFFFAOYSA-N
map01100	C00263	UKAUYVFTDYCKQA-VKHMYHEASA-N
map01100	C00266	WGCNASOHLSPBMP-UHFFFAOYSA-N
map01100	C00267	WQZGKKKJIJFFOK-DVKNGEFBSA-N
map01100	C00268	ZHQJVZLJDXWFFX-RPDRRWSUSA-N
map01100	C00269	
map01100	C00270	SQVRNKJHWKZAKO-LUWBGTNYSA-N
map01100	C00272	FNKQXYHWGSIFBK-RPDRRWSUSA-N
map01100	C00275	NBSCHQHZLSJFNQ-QTVWNMPRSA-N
map01100	C00279	NGHMDNPXVRFFGS-IUYQGCFVSA-N
map01100	C00280	AEMFNILZOJDQLW-QAGGRKNESA-N
map01100	C00283	RWSOTUBLDIXVET-UHFFFAOYSA-N
map01100	C00286	HAAZLUGHYHWQIW-KVQBGUIXSA-N
map01100	C00288	BVKZGUZCCUSVTD-UHFFFAOYSA-M
map01100	C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N
map01100	C00295	PXQPEWDEAKTCGB-UHFFFAOYSA-N
map01100	C00296	AAWZDTNXLSGCEK-WYWMIBKRSA-N
map01100	C00299	DRTQHJPVMGBUCF-XVFCMESISA-N
map01100	C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N
map01100	C00301	SRNWOUGRCWSEMX-KEOHHSTQSA-N
map01100	C00302	WHUUTDBJXJRKMK-UHFFFAOYNA-N
map01100	C00307	RZZPDXZPRHQOCG-OJAKKHQRSA-N
map01100	C00309	LQXVFWRQNMEDEE-ZZKAVYKESA-N
map01100	C00310	LQXVFWRQNMEDEE-OVEKKEMJSA-N
map01100	C00311	ODBLHEXUDAPZAU-UHFFFAOYNA-N
map01100	C00312	LQXVFWRQNMEDEE-PYHARJCCSA-N
map01100	C00313	QVXMZFTWJVBUHP-IBOSZNHHSA-N
map01100	C00314	LXNHXLLTXMVWPM-UHFFFAOYSA-N
map01100	C00315	ATHGHQPFGPMSJY-UHFFFAOYSA-N
map01100	C00319	WWUZIQQURGPMPG-KRWOKUGFSA-N
map01100	C00320	DHCDFWKWKRSZHF-UHFFFAOYSA-M
map01100	C00322	FGSBNBBHOZHUBO-UHFFFAOYSA-N
map01100	C00323	QHRGJMIMHCLHRG-ZSELIEHESA-N
map01100	C00325	LQEBEXMHBLQMDB-JGQUBWHWSA-N
map01100	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N
map01100	C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N
map01100	C00329	MSWZFWKMSRAUBD-IVMDWMLBSA-N
map01100	C00330	YKBGVTZYEHREMT-KVQBGUIXSA-N
map01100	C00331	RSTKLPZEZYGQPY-UHFFFAOYSA-N
map01100	C00332	OJFDKHTZOUZBOS-CITAKDKDSA-N
map01100	C00333	AEMOLEFTQBMNLQ-YMDCURPLSA-N
map01100	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N
map01100	C00337	UFIVEPVSAGBUSI-REOHCLBHSA-N
map01100	C00338	
map01100	C00341	GVVPGTZRZFNKDS-JXMROGBWSA-N
map01100	C00344	
map01100	C00345	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
map01100	C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N
map01100	C00350	
map01100	C00352	XHMJOUIAFHJHBW-IVMDWMLBSA-N
map01100	C00353	OINNEUNVOZHBOX-QIRCYJPOSA-N
map01100	C00354	RNBGYGVWRKECFJ-VRPWFDPXSA-N
map01100	C00355	WTDRDQBEARUVNC-LURJTMIESA-N
map01100	C00356	CABVTRNMFUVUDM-VRHQGPGLSA-N
map01100	C00357	BRGMHAYQAZFZDJ-RTRLPJTCSA-N
map01100	C00360	KHWCHTKSEGGWEX-RRKCRQDMSA-N
map01100	C00361	CIKGWCTVFSRMJU-KVQBGUIXSA-N
map01100	C00362	LTFMZDNNPPEQNG-KVQBGUIXSA-N
map01100	C00363	UJLXYODCHAELLY-XLPZGREQSA-N
map01100	C00364	GYOZYWVXFNDGLU-XLPZGREQSA-N
map01100	C00365	JSRLJPSBLDHEIO-SHYZEUOFSA-N
map01100	C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N
map01100	C00369	
map01100	C00371	UZKQTCBAMSWPJD-FARCUNLSSA-N
map01100	C00372	
map01100	C00376	NCYCYZXNIZJOKI-OVSJKPMPSA-N
map01100	C00378	JZRWCGZRTZMZEH-UHFFFAOYSA-N
map01100	C00379	HEBKCHPVOIAQTA-SCDXWVJYSA-N
map01100	C00380	OPTASPLRGRRNAP-UHFFFAOYSA-N
map01100	C00381	KLGBTYNAYAZPFD-QOLULZRONA-N
map01100	C00383	OFOBLEOULBTSOW-UHFFFAOYSA-N
map01100	C00385	LRFVTYWOQMYALW-UHFFFAOYSA-N
map01100	C00386	CQOVPNPJLQNMDC-ZETCQYMHSA-N
map01100	C00387	NYHBQMYGNKIUIF-UUOKFMHZSA-N
map01100	C00388	NTYJJOPFIAHURM-UHFFFAOYSA-N
map01100	C00389	REFJWTPEDVJJIY-UHFFFAOYSA-N
map01100	C00390	RNUCUWWMTTWKAH-JLHYYAGUSA-N
map01100	C00392	FBPFZTCFMRRESA-KVTDHHQDSA-N
map01100	C00394	MVMSCBBUIHUTGJ-IKVBDKFJSA-N
map01100	C00395	
map01100	C00398	APJYDQYYACXCRM-UHFFFAOYSA-N
map01100	C00399	SQQWBSBBCSFQGC-JLHYYAGUSA-N
map01100	C00401	
map01100	C00402	CKLJMWTZIZZHCS-UWTATZPHSA-N
map01100	C00406	GBXZVJQQDAJGSO-NBXNMEGSSA-N
map01100	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N
map01100	C00408	HXEACLLIILLPRG-YFKPBYRVSA-N
map01100	C00409	LSDPWZHWYPCBBB-UHFFFAOYSA-N
map01100	C00410	RJKFOVLPORLFTN-LEKSSAKUSA-N
map01100	C00411	RBFUWESMWRUGFY-GSNIOFLCSA-N
map01100	C00413	UCSJYZPVAKXKNQ-HZYVHMACSA-N
map01100	C00415	OZRNSSUDZOLUSN-LBPRGKRZSA-N
map01100	C00416	
map01100	C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N
map01100	C00418	KJTLQQUUPVSXIM-ZCFIWIBFSA-N
map01100	C00422	
map01100	C00423	WBYWAXJHAXSJNI-VOTSOKGWSA-N
map01100	C00424	BSABBBMNWQWLLU-VKHMYHEASA-N
map01100	C00426	
map01100	C00427	YIBNHAJFJUQSRA-YNNPMVKQSA-N
map01100	C00429	OIVLITBTBDPEFK-UHFFFAOYSA-N
map01100	C00430	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
map01100	C00431	JJMDCOVWQOJGCB-UHFFFAOYSA-N
map01100	C00433	VHKNBDIQDAXGBL-UHFFFAOYSA-N
map01100	C00436	YANFYYGANIYHGI-UHFFFAOYSA-N
map01100	C00437	JRLGPAXAGHMNOL-LURJTMIESA-N
map01100	C00438	HLKXYZVTANABHZ-REOHCLBHSA-N
map01100	C00439	NRXIKWMTVXPVEF-BYPYZUCNSA-N
map01100	C00440	ZNOVTXRBGFNYRX-STQMWFEESA-N
map01100	C00441	HOSWPDPVFBCLSY-VKHMYHEASA-N
map01100	C00445	MEANFMOQMXYMCT-ABLWVSNPSA-O
map01100	C00446	HXXFSFRBOHSIMQ-FPRJBGLDSA-N
map01100	C00447	OKHXOUGRECCASI-SHUUEZRQSA-N
map01100	C00448	VWFJDQUYCIWHTN-YFVJMOTDSA-N
map01100	C00449	ZDGJAHTZVHVLOT-YUMQZZPRSA-N
map01100	C00450	CSDPVAKVEWETFG-YFKPBYRVSA-N
map01100	C00455	DAYLJWODMCOQEW-TURQNECASA-N
map01100	C00458	RGWHQCVHVJXOKC-SHYZEUOFSA-N
map01100	C00459	NHVNXKFIZYSCEB-XLPZGREQSA-N
map01100	C00460	AHCYMLUZIRLXAA-SHYZEUOFSA-N
map01100	C00461	
map01100	C00463	SIKJAQJRHWYJAI-UHFFFAOYSA-N
map01100	C00464	
map01100	C00468	DNXHEGUUPJUMQT-CBZIJGRNSA-N
map01100	C00469	LFQSCWFLJHTTHZ-UHFFFAOYSA-N
map01100	C00470	LCLHHZYHLXDRQG-XIDBBRFWSA-N
map01100	C00473	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
map01100	C00474	HEBKCHPVOIAQTA-ZXFHETKHSA-N
map01100	C00475	UHDGCWIWMRVCDJ-XVFCMESISA-N
map01100	C00479	NBBJYMSMWIIQGU-UHFFFAOYSA-N
map01100	C00482	PCMORTLOPMLEFB-ONEGZZNKSA-N
map01100	C00483	DZGWFCGJZKJUFP-UHFFFAOYSA-N
map01100	C00486	BPYKTIZUTYGOLE-IFADSCNNSA-N
map01100	C00487	PHIQHXFUZVPYII-UHFFFAOYSA-O
map01100	C00488	ZHNUHDYFZUAESO-UHFFFAOYSA-N
map01100	C00489	JFCQEDHGNNZCLN-UHFFFAOYSA-N
map01100	C00490	LVHBHZANLOWSRM-UHFFFAOYSA-N
map01100	C00491	LEVWYRKDKASIDU-IMJSIDKUSA-N
map01100	C00492	MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
map01100	C00493	JXOHGGNKMLTUBP-HSUXUTPPSA-N
map01100	C00497	BJEPYKJPYRNKOW-UWTATZPHSA-N
map01100	C00498	WFPZSXYXPSUOPY-ROYWQJLOSA-N
map01100	C00499	NUCLJNSWZCHRKL-UHFFFAOYSA-N
map01100	C00500	QBUVFDKTZJNUPP-BBROENKCSA-N
map01100	C00501	CGPHZDRCVSLMCF-JZMIEXBBSA-N
map01100	C00502	QXKAIJAYHKCRRA-FLRLBIABSA-N
map01100	C00504	OVBPIULPVIDEAO-LBPRGKRZSA-N
map01100	C00506	XVOYSCVBGLVSOL-REOHCLBHSA-N
map01100	C00507	SHZGCJCMOBCMKK-JFNONXLTSA-N
map01100	C00508	LQXVFWRQNMEDEE-QRHDOFTISA-N
map01100	C00509	FTVWIRXFELQLPI-ZDUSSCGKSA-N
map01100	C00511	NIXOWILDQLNWCW-UHFFFAOYSA-N
map01100	C00512	VEVJTUNLALKRNO-TYHXJLICSA-N
map01100	C00514	RGHNJXZEOKUKBD-MBMOQRBOSA-N
map01100	C00515	AHLPHDHHMVZTML-SCSAIBSYSA-N
map01100	C00519	VVIUBCNYACGLLV-UHFFFAOYNA-N
map01100	C00521	XMGQYMWWDOXHJM-SNVBAGLBSA-N
map01100	C00522	OTOIIPJYVQJATP-BYPYZUCNSA-N
map01100	C00523	QGXBDMJGAMFCBF-HLUDHZFRSA-N
map01100	C00524	
map01100	C00526	MXHRCPNRJAMMIM-SHYZEUOFSA-N
map01100	C00527	SYKWLIJQEHRDNH-CKRMAKSASA-N
map01100	C00530	QIGBRXMKCJKVMJ-UHFFFAOYSA-N
map01100	C00531	NFVGYLGSSJPRKW-CITAKDKDSA-N
map01100	C00532	HEBKCHPVOIAQTA-IMJSIDKUSA-N
map01100	C00533	MWUXSHHQAYIFBG-UHFFFAOYSA-N
map01100	C00534	NHZMQXZHNVQTQA-UHFFFAOYSA-N
map01100	C00535	MUMGGOZAMZWBJJ-DYKIIFRCSA-N
map01100	C00540	JVNVHNHITFVWIX-KZKUDURGSA-N
map01100	C00541	ASARMUCNOOHMLO-FSANSEACSA-L
map01100	C00543	ROSDSFDQCJNGOL-UHFFFAOYSA-N
map01100	C00544	IGMNYECMUMZDDF-UHFFFAOYSA-N
map01100	C00545	QXKAIJAYHKCRRA-YVZJFKFKSA-N
map01100	C00546	AIJULSRZWUXGPQ-UHFFFAOYSA-N
map01100	C00547	SFLSHLFXELFNJZ-QMMMGPOBSA-N
map01100	C00550	
map01100	C00552	FEWJPZIEWOKRBE-XIXRPRMCSA-N
map01100	C00555	DZQLQEYLEYWJIB-UHFFFAOYSA-N
map01100	C00556	WVDDGKGOMKODPV-UHFFFAOYSA-N
map01100	C00558	PTCIWUZVDIQTOW-QNZBUJBTSA-N
map01100	C00559	OLXZPDWKRNYJJZ-RRKCRQDMSA-N
map01100	C00561	NNICRUQPODTGRU-QMMMGPOBSA-N
map01100	C00565	GETQZCLCWQTVFV-UHFFFAOYSA-N
map01100	C00566	IHVFHZGGMJDGGZ-OKWOQZSLSA-N
map01100	C00568	ALYNCZNDIQEVRV-UHFFFAOYSA-N
map01100	C00570	WVIMUEUQJFPNDK-PEBGCTIMSA-N
map01100	C00573	
map01100	C00575	IVOMOUWHDPKRLL-KQYNXXCUSA-N
map01100	C00576	SXKNCCSPZDCRFD-UHFFFAOYSA-N
map01100	C00577	MNQZXJOMYWMBOU-VKHMYHEASA-N
map01100	C00580	QMMFVYPAHWMCMS-UHFFFAOYSA-N
map01100	C00581	BPMFZUMJYQTVII-UHFFFAOYSA-N
map01100	C00582	ZIGIFDRJFZYEEQ-CECATXLMSA-N
map01100	C00583	DNIAPMSPPWPWGF-UHFFFAOYNA-N
map01100	C00584	XEYBRNLFEZDVAW-ARSRFYASSA-N
map01100	C00588	YHHSONZFOIEMCP-UHFFFAOYSA-O
map01100	C00590	JMFRWRFFLBVWSI-NSCUHMNNSA-N
map01100	C00593	JTJIXCMSHWPJJE-UHFFFAOYSA-N
map01100	C00596	VHTQQDXPNUTMNB-ONEGZZNKSA-N
map01100	C00601	DTUQWGWMVIHBKE-UHFFFAOYSA-N
map01100	C00603	NWZYYCVIOKVTII-SFOWXEAESA-N
map01100	C00606	ADVPTQAUNPRNPO-REOHCLBHSA-N
map01100	C00617	HDYANYHVCAPMJV-RDKSFWDPSA-N
map01100	C00618	WTAHRPBPWHCMHW-LWKDLAHASA-N
map01100	C00620	YXJDFQJKERBOBM-TXICZTDVSA-N
map01100	C00621	MXGLYEVGJRXBTP-QOLULZRONA-N
map01100	C00624	RFMMMVDNIPUKGG-YFKPBYRVSA-N
map01100	C00627	WHOMFKWHIQZTHY-UHFFFAOYSA-N
map01100	C00628	WXTMDXOMEHJXQO-UHFFFAOYSA-N
map01100	C00630	AEWHYWSPVRZHCT-NDZSKPAWSA-N
